Rep,pH,Nutrients,Shoot_length,Sht_g_DW,Rhi_Elong_cm,Rhi_mass_g_DW
21,7.43,No Nutrients,26.2,0.1069,0.3,0.1798
22,7.43,No Nutrients,34.6,0.2804,1.4,0.3143
23,7.43,No Nutrients,45.3,0.2879,3.2,0.3521
24,7.43,No Nutrients,37.5,0.2705,1.6,0.4634
25,7.43,No Nutrients,62.2,0.352,1.1,0.3287
4a,7.43,No Nutrients,10.3,0.0488,na,na
1,7.58,No Nutrients,40.8,0.3518,3,0.4119
2,7.58,No Nutrients,62,0.5516,4.3,0.9598
3,7.58,No Nutrients,57.9,0.3126,2.9,0.6601
4,7.58,No Nutrients,43,0.2475,1.4,0.5157
5,7.58,No Nutrients,53.5,0.2369,1.8,0.5003
6,7.58,No Nutrients,56,0.3177,3.3,0.491
7,7.58,No Nutrients,34,0.1383,0.3,0.9663
8,7.58,No Nutrients,48,0.4428,6,1.2874
9,7.58,No Nutrients,61.3,0.5362,2.4,0.9928
10,7.58,No Nutrients,56.2,0.2951,4.1,0.5571
11,7.58,No Nutrients,45.6,0.2199,1.4,0.3458
12,7.58,No Nutrients,49,0.2358,2.7,0.2565
13,7.58,No Nutrients,49.9,0.2627,4.5,0.5867
14,7.58,No Nutrients,52.8,0.2314,2.2,0.4147
15,7.58,No Nutrients,na,na,na,na
16,7.58,No Nutrients,57.8,0.149,1.2,0.2315
17,7.58,No Nutrients,38.6,0.0643,0.4,0.15
18,7.58,No Nutrients,60.2,0.2847,2.7,0.3116
19,7.58,No Nutrients,63.2,0.2789,0.1,0.2847
20,7.58,No Nutrients,40.1,0.2701,1.8,0.3832
21,7.58,No Nutrients,65,0.2586,1.8,0.2731
22,7.58,No Nutrients,45.2,0.1927,0.4,0.1614
23,7.58,No Nutrients,43,0.2265,1.2,0.1967
24,7.58,No Nutrients,39.4,0.2251,0.9,0.1319
25,7.58,No Nutrients,39.6,0.0964,0.8,0.146
1,7.73,No Nutrients,48.1,0.3812,4.3,0.4033
2,7.73,No Nutrients,59.3,0.3491,-0.1,0.1746
3,7.73,No Nutrients,30.8,0.3038,2.6,0.3149
4,7.73,No Nutrients,20,0.3475,-0.2,0.1952
5,7.73,No Nutrients,19.8,0.2636,0,0.2631
6,7.73,No Nutrients,41.8,0.3861,1.1,0.2927
7,7.73,No Nutrients,57.8,0.4058,1,0.1642
8,7.73,No Nutrients,37,0.1947,-1.6,0.1327
9,7.73,No Nutrients,39,0.2271,0.2,0.2038
10,7.73,No Nutrients,39.8,0.6902,-0.5,0.1339
11,7.73,No Nutrients,40.8,0.3079,0.3,0.1743
12,7.73,No Nutrients,50.8,0.9099,3.5,0.2887
13,7.73,No Nutrients,38.7,0.2078,1,0.1304
14,7.73,No Nutrients,49.4,0.2848,0.6,0.2507
15,7.73,No Nutrients,44.2,0.2877,0.7,0.2167
16,7.73,No Nutrients,34.6,0.2295,1,0.2416
17,7.73,No Nutrients,19.5,0.2226,1.7,0.1982
18,7.73,No Nutrients,50.8,0.2973,3.5,0.3694
19,7.73,No Nutrients,21.2,0.4454,3.2,0.2829
20,7.73,No Nutrients,42.5,0.3047,3.2,0.2443
21,7.73,No Nutrients,39.4,0.2818,3.5,0.2785
22,7.73,No Nutrients,20.4,0.3109,1.2,0.3369
23,7.73,No Nutrients,41.6,0.1963,1.3,0.1227
24,7.73,No Nutrients,35.6,0.2402,-1.9,0.2743
25,7.73,No Nutrients,na,na,na,na
1,7.86,No Nutrients,48.6,0.3856,2.9,0.1132
2,7.86,No Nutrients,33.4,0.2646,0.6,0.1637
3,7.86,No Nutrients,50.8,0.2943,1.2,0.2232
4,7.86,No Nutrients,41.7,0.2066,1,0.183
5,7.86,No Nutrients,44.6,0.1946,2,0.1849
6,7.86,No Nutrients,49.3,0.2867,3.4,0.2798
7,7.86,No Nutrients,60.6,0.381,1.4,0.2001
8,7.86,No Nutrients,83.3,0.3078,2,0.2349
9,7.86,No Nutrients,46.3,0.2721,-1.1,0.1234
10,7.86,No Nutrients,50.2,0.2742,2.6,0.2248
11,7.86,No Nutrients,47.4,0.3489,1.3,0.259
12,7.86,No Nutrients,45.5,0.3202,2.2,0.2717
13,7.86,No Nutrients,53.1,0.2923,2.6,0.3121
14,7.86,No Nutrients,60.4,0.3857,2.4,0.3333
15,7.86,No Nutrients,16.2,0.1445,2.2,0.2676
16,7.86,No Nutrients,35.5,0.1868,4.6,0.3517
17,7.86,No Nutrients,na,na,na,na
18,7.86,No Nutrients,48.5,0.2369,1.6,0.1911
19,7.86,No Nutrients,38.6,0.2244,2.7,0.2895
20,7.86,No Nutrients,30.1,0.1555,0.7,0.1838
21,7.86,No Nutrients,35.2,0.2086,4.4,0.3281
22,7.86,No Nutrients,34.7,0.1501,0.4,0.1313
23,7.86,No Nutrients,37.8,0.1466,2.6,0.1876
24,7.86,No Nutrients,55.2,0.2457,2.6,0.223
25,7.86,No Nutrients,49.3,0.2634,1.2,0.191
1,6.99,Nutrients added,50.8,0.3359,3.6,0.314
2,6.99,Nutrients added,58,0.3353,1.9,0.2034
3,6.99,Nutrients added,65.6,0.4452,2.6,0.2665
4,6.99,Nutrients added,46.6,0.322,2.6,0.3526
5,6.99,Nutrients added,36.4,0.2885,4.2,0.3971
6,6.99,Nutrients added,48.2,0.4793,3.6,0.608
7,6.99,Nutrients added,56.2,0.3904,1.8,0.2311
8,6.99,Nutrients added,27,0.3711,6.8,0.1584
9,6.99,Nutrients added,53.3,0.1936,6.6,0.1398
10,6.99,Nutrients added,53.6,0.4196,0.8,0.2434
11,6.99,Nutrients added,43.4,0.4489,1.9,0.301
12,6.99,Nutrients added,41.2,0.2927,2.6,0.3007
13,6.99,Nutrients added,44.6,0.4069,0.5,0.3601
14,6.99,Nutrients added,37.5,0.3973,0.6,0.2586
15,6.99,Nutrients added,59.8,0.3873,2.8,0.3063
16,6.99,Nutrients added,69.1,0.4029,-0.4,0.1984
17,6.99,Nutrients added,45.9,0.3002,2.7,0.2886
18,6.99,Nutrients added,na,na,na,na
19,6.99,Nutrients added,46.8,0.3541,1.1,0.3108
